序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
316,"A dynamic exterior tracking shot of a high-speed anime train racing through a vibrant countryside. The camera moves parallel to the speeding carriage, focusing on a side window where the lead character is seen looking out, their hair and clothes slightly rustling, with the landscape behind them blurred into streaks of green and gold.","人物,物体",日常行为,风格化,刚体位移,叙述性描述,运镜,英文,54,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0315.mp4
317,"A low-angle perspective from the rain-slicked pavement of late-night Tokyo. The camera remains low, capturing the shivering neon reflections on the ground in the foreground. Above, an elevated train rumbles past.",人造空间,,画面构图,,叙述性描述,,英文,31,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0316.mp4
318,"A wide, high-angle aerial perspective looking down at a futuristic spaceport situated on a floating platform in the middle of the ocean. Multiple rockets of varying dimensions are stationed across the deck. The camera maintains a steady, elevated view, capturing the atmospheric shimmering of heat haze and the subtle glow of pre-launch lights as the largest rocket's engines begin to hum with energy.",人造空间,,,,叙述性描述,,英文,63,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0317.mp4
319,镜头从侧面低角度缓缓推入，特写厨师在白色瓷盘上用镊子精细摆盘，背景烛光朦胧。随后慢动作捕捉刀叉切开法式烤鸭，展现肉质纤维张力与红酒酱汁缓缓流淌的细节。,人物,日常行为,,,叙述性描述,"运镜,时间操控",中文,75,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0318.mp4
320,"A wide-angle, high-angle perspective of a futuristic VR training simulation within a vast warehouse. The scene is viewed through a digital heads-up display that subtly overlays the environment, with glowing neon outlines marking structural weak points on the steel beams. In the center, a cargo pallet hovers with minimal micro-vibrations, perfectly stabilized. The lighting is dim with soft digital glows, emphasizing a calm
and steady atmosphere.",人造空间,,视觉特效,,叙述性描述,,英文,65,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0319.mp4
321,消防员，30岁，着火大楼，水管，浓烟，紧迫。,人物,日常行为,,,日常白话,,中文,22,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0320.mp4
322,清晨，一束光刚刚洒在阳台上，透过窗户照到了室内，阳台上盆栽叶片上的露珠在照射下闪闪发光,物体,,画面构图,静态/微动,日常白话,,中文,43,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0321.mp4
323,"A close-up video shows a light blue cotton towel being gently wrung out on a clean white countertop. The hands slowly twist the towel in opposite directions, squeezing out drops of water. Then the hands unfold the towel flat and carefully fold it into a neat rectangle. The camera slowly pulls back to reveal the folded towel beside a bar of soap. Soft, even lighting highlights the towel's fabric texture throughout.","人物,物体",日常行为,材质质感,,叙述性描述,运镜,英文,71,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0322.mp4
324,"A Chinese scientist in a sterile lab interacting with a DNA sequencer. The cool blue light from the pulsing holographic interface illuminates the scientist's focused face, while complex genetic sequences stream and shift rapidly across the screens in high-speed motion.",人物,日常行为,画面构图,,日常白话,,英文,40,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0323.mp4
325,"In front of a crosswalk, a blind man holds the leash of his guide dog and waits, the dog squatting beside his feet. Cut to a close-up of the traffic light turning green. Cut back to a wide shot as the dog stands up and leads the man steadily across the road.","人物,动物",日常行为,,,叙述性描述,多镜头,英文,52,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0324.mp4
326,"A cinematic view deep inside a limestone cavern system near Waitomo. Ancient damp rock walls glisten with moisture, hanging stalactites overhead. Soft blue bioluminescence from glowworms flickers across the cavern. Cut to a close-up of glowworm threads dangling from the ceiling. Cut back to wide shot as a small boat drifts silently through the underground river.",自然景观,,画面构图,静态/微动,叙述性描述,多镜头,英文,56,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0325.mp4
327,An orbital shot circles a Chinese figure skater in slow motion during a triple axel. The camera moves smoothly to capture every moment of the rotation. Ice crystals spray in perfect arcs while stadium lights create dramatic edge lighting on the athlete's form. The crowd becomes a soft blur of color in the background.,人物,运动体育,画面构图,,叙述性描述,"运镜,时间操控",英文,54,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0326.mp4
328,"A breathtaking cinematic time-lapse capturing the ruins of an ancient stone temple at dawn. As the golden sun crests the horizon, its warm light slowly travels across weathered grey pillars and moss-laden stones, gradually unveiling masterfully crafted relief carvings. Wisps of morning mist dissipate in the soft light, and long shadows retreat to reveal the vibrant greens of the thick moss. The scene is permeated with a peaceful, sacred atmosphere, emphasizing the subtle shift in lighting and the detailed
textures of the aged stone.",人造空间,,画面构图,静态/微动,叙述性描述,时间操控,英文,83,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0327.mp4
329,"The camera uses a low-angle tracking shot, closely following a lion pacing across a vast grassland, golden sunlight dancing on its bushy mane. As the lion stops and locks onto its prey, the camera zooms in for a close-up of its sharp eyes; then, as it leaps and sprints at full speed, the camera switches to a high-speed side-view pan, capturing the explosive power and speed of its charge towards its prey.",动物,,,动物运动,叙述性描述,运镜,英文,72,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0328.mp4
330,在烈日照耀的赛道上，红色的闪电麦昆如一道幻影般飞驰而过，轮胎与柏油路面剧烈摩擦产生青烟。镜头由远及近切换至前脸特写，他那双充满神采的眼睛里透着自信与激昂。紧接着，他猛然刹车，车身顺势做出一个完美的90度侧向漂移，伴随着漫天飞扬的黄色沙尘和低沉的轰鸣声。当尘埃在夕阳余晖中缓缓散去，麦昆的车头稳稳定格，嘴角勾起一抹标志性的得意微笑，漆面闪烁着耀眼的金属质感。,物体,,材质质感,刚体位移,叙述性描述,"运镜,时间操控",中文,178,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0329.mp4
331,"A nomadic alchemist wearing a weathered hooded cloak strolls through a dense, mysterious forest illuminated by giant bioluminescent mushrooms. Several glass medicine bottles filled with translucent liquid hang from a thick belt, shaking and jingling with every step. The alchemist bends down and carefully picks sparkling silver herbs from the moss-covered ground, while nearby exotic flowers vibrate rhythmically, as if whispering in the cool, glowing atmosphere.",人物,日常行为,画面构图,,日常白话,,英文,66,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0330.mp4
332,"A highly detailed, ancient brass clockwork oracle rests motionless in a dimly lit, vaulted temple. Glowing blue constellations are etched across its intricate metallic surface. Thick swirling plumes of incense smoke drift around it, and soft beams of light pierce through the haze, illuminating the oracle's elaborate golden gears in exquisite detail.",物体,,材质质感,静态/微动,日常白话,,英文,52,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0331.mp4
333,在巍峨雪山脚下的静谧村庄，一场盛大的冬季庆典正在进行。镜头从几片晶莹剔透、缓缓飘落的雪花微距特写开始，随着镜头轻柔平滑地向下俯冲，画面逐渐展现出雪地中一群戴着彩色毛线帽的孩子们，他们正欢快地合力堆起圆滚滚的雪人，另一侧则在进行激烈的打雪仗，飞散的雪粉在空中清晰可见。画面中心是一团熊熊燃烧的橙红篝火，木柴噼啪作响，火星向深蓝色的夜空飞溅。围在火边的成年人们有节奏地敲击着蒙皮手鼓，身躯随韵律轻微摇摆，明亮的火光在每个人的面庞上跳跃，映出红润的肤色。最后，镜头平稳地向后拉远形成全景，整座村庄点缀在冷色调的蓝色雪地与暖色调的篝火辉映中，呈现出极致的宁静与祥和。,人物,"日常行为,表演艺术",多个体/群体画面,,叙述性描述,运镜,中文,279,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0332.mp4
334,写真写实风格。夜晚，室内浅暖黄色灯光柔和，窗外下雨，玻璃上布满水珠。一位22岁的非洲女子，黑褐色长卷发，穿着宽松的米白色毛绒睡衣套装，上衣印有卡通黑猫图案，搭配白色长裤。她靠坐在客厅地毯上，腿上盖着毛毯，身旁矮桌上放着一盆蓝莓和一个平板支架。她正在吃蓝莓，目光看向不再画面内的电视屏幕，偶尔打开手机看一下并轻笑。中景镜头，景深自然，前景柔和。光影层次丰富细腻，氛围轻松温馨，充满生活气息和高级美感。,人物,日常行为,画面构图,,叙述性描述,,中文,199,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0333.mp4
335,采用动感的跟拍视角，镜头首先从低角度锁定一名身穿复古棕色皮夹克、戴着宽檐帽的牛仔。随着马匹在草原上飞驰，摄像机由侧面平移迅速切换至斜后方的追随视角，清晰地展现牛仔手臂发力、熟练地在头顶旋转长套索的连贯动作。当他精准地将套索抛向前方狂奔的小牛时，镜头伴随绳索的飞行轨迹进行快速推进，捕捉套索在空中因离心力形成的动态圆环。画面背景中落日的余晖穿透飞扬的尘土，呈现出极具物理质感与光影张力的电影级动态场景。,"人物,动物",运动体育,画面构图,,叙述性描述,运镜,中文,200,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0334.mp4
336,这是一段极致清晰的微观摄影。一滴深红色的墨水从上方缓缓坠落，精准地击中清澈见底的水面。随着撞击，墨水开始在水中优雅地向四周扩散，丝滑的红色线条如同精致的红绸缎在水中飘动。随着时间推移，墨水逐渐演变成复杂的、烟雾缭绕的云雾状结构，在光线的折射下呈现出深浅不一的红色层次感。画面中杯内的总水量保持恒定，液面高度稳定，水流的扩散遵循真实的流体力学规律，过程缓慢且丝滑。背景纯净且带有细腻的虚化效果，突出了流体运动的纹理和物理真实感。,抽象形体,,,流体/软体,日常白话,,中文,213,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0335.mp4
337,镜头采用动感的低角度跟踪拍摄，2D热血动漫风格，紧贴航母甲板随第一架银色战机同步冲刺。随着机头拉升，相机平滑切换至广角侧随视角，依次捕捉蓝色与黑色战机从甲板弹射起飞的连贯过程。随后镜头转为高空俯瞰并迅速俯冲，以飞行视角穿梭在三架保持编队的飞行器之间。阳光在不同机身的金属涂装上产生一致的折射光影，物理动态极其真实，史诗般的空战大片质感。,物体,,风格化,刚体位移,叙述性描述,运镜,中文,168,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0336.mp4
338,一名侦探站在一间光线昏暗的房间里，手持一件物品，若有所思地端详着。,人物,情绪表情,,,日常白话,,中文,33,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0337.mp4
339,一名年轻男子在地铁中静坐不动，周围是快速移动的模糊人影。车门开了，人群涌入，一个女人的包蹭到他肩膀，他无反应。镜头从远景慢慢拉近至他面部特写，捕捉他几乎不眨动的双眼。,人物,情绪表情,,,叙述性描述,运镜,中文,83,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0338.mp4
340,咖啡馆里，特写拍摄老年男人，他若有所思地坐着，眼神专注。随后他的表情从沉思逐渐变成微笑，抬手撩了一下头发，眼神中透出一种找到答案般的欣慰。,人物,情绪表情,,,叙述性描述,,中文,69,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0339.mp4
341,一名英俊男子立于薄雾笼罩的山脊之上。他身着利落实用的户外装备—— 深炭灰色防风夹克、专业登山裤，双肩背着登山包。山风微凉，吹乱了他的发丝，神情沉静而坚毅。背景是翻涌的缥缈云雾，在嶙峋怪石间缭绕飘散，偶有间隙，远方巍峨的雪山便露出一角。镜头从男子身后缓缓推进，他正凝视着脚下云雾翻涌的深渊。凛冽的空气中，他呼出的气息凝成白雾，化作自然的氛围感细节。他微微转向镜头，锐利的眼眸中透着不屈的韧劲。,人物,情绪表情,,,叙述性描述,运镜,中文,195,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0340.mp4
342,跟拍中景，西装男快速穿过人流，神情专注。镜头跟着男人人群中穿梭推进，制造节奏压迫感。他最终站在车门前，深呼吸，抬头向上看。,人物,日常行为,,,叙述性描述,运镜,中文,61,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0341.mp4
343,"A close-up of a wok on a stove, filled with colorful vegetables being stir-fried over high heat.",物体,,,刚体位移,叙述性描述,,英文,17,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0342.mp4
344,风吹麦浪，小男孩在田野中行走。,人物,日常行为,,,日常白话,,中文,15,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0343.mp4
345,"A person is seen meticulously folding freshly laundered clothes on a clean bed. They are smoothing out wrinkles with their hands and stacking t-shirts into neat, organized piles. The room is filled with soft, natural morning light, creating a warm and productive atmosphere.",人物,日常行为,,,日常白话,,英文,43,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0344.mp4
346,直播间一个漂亮的女士正在介绍手里的衬衫。,人物,日常行为,,,日常白话,,中文,20,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0345.mp4
347,新年来了，超市里十分热闹，到处张灯结彩。,人物,日常行为,多个体/群体画面,,日常白话,,中文,20,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0346.mp4
348,"A group of people is sitting comfortably on the wooden deck of a cruise ship, gazing out at the endless expanse of the open sea. The sky is painted in stunning shades of orange, pink, and purple as the sun slowly sets on the horizon, casting a golden reflection across the gently rolling waves. Some are lounging on cushioned deck chairs with sunglasses on, sipping cool drinks and chatting softly. Others are leaning against the railing, pointing at distant dolphins leaping out of the water or admiring the distant silhouette of a passing island. A couple is wrapped in a warm blanket, snuggled close together, watching the breathtaking view in peaceful silence. The cool ocean breeze rustles through their hair, and the rhythmic sound of waves lapping against the hull creates a soothing, tranquil atmosphere. Everyone seems completely at ease, immersed in the beauty of nature and the shared joy of this serene moment at sea.",人物,日常行为,多个体/群体画面,,日常白话,,英文,156,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0347.mp4
349,"The students in the classroom are listening attentively to the lesson.

",人物,日常行为,多个体/群体画面,,日常白话,,英文,11,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0348.mp4
350,"A group of believers gathers in the old stone church, their footsteps muffled by the worn red carpet that runs down the center aisle. They settle into the wooden pews—some kneeling, some sitting with heads bowed, others standing with eyes raised toward the stained-glass window where morning light spills in gold and blue.",人物,日常行为,多个体/群体画面,,日常白话,,英文,53,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0349.mp4
351,一个漂亮的女孩坐在沙发上边喝咖啡边看书。,人物,日常行为,,,日常白话,,中文,20,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0350.mp4
352,A lively family gathers around the dining table for a meal together.,人物,社会互动,多个体/群体画面,,日常白话,,英文,12,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0351.mp4
353,清晨，一位少年骑着自行车在欧洲老城区的石板路上匀速前行。,人物,日常行为,,,日常白话,,中文,28,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0352.mp4
354,一位欧洲新娘在婚礼前独自站在化妆镜前。镜头从镜中她微笑整理发饰的特写开始，缓慢推进。她拿起桌上的口红涂抹嘴唇，对着镜子满意地点头。,人物,精细操作,,,叙述性描述,运镜,中文,65,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0353.mp4
355,一个愤怒的男人站在房间里，双拳紧握，眉头紧锁，嘴唇微微颤抖。,人物,情绪表情,,,日常白话,,中文,30,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0354.mp4
356,"In a single continuous cinematic shot, the camera starts from outside a glass window and slowly pushes inward into a pizza shop. A bearded employee removes a pizza from the oven, places it into a red takeaway box, and hands it to a waiting customer with a warm smile. The shot ends with an over-the-shoulder perspective.",人物,日常行为,,,专业影视语言,运镜,英文,56,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0355.mp4
357,"On a nighttime urban street with reflective wet pavement and neon lighting, a group of young street dancers forms a semicircle. One dancer steps into the center and performs a solo featuring dynamic floor moves and freezes. The camera slowly circles around the dancer, maintaining a cinematic, stable frame with photorealistic detail.",人物,表演艺术,画面构图,,叙述性描述,运镜,英文,52,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0356.mp4
358,纽约写字楼办公区，一名外国男职员站在打印机旁，低头翻看手中刚打印出来的文件。,人物,日常行为,,,日常白话,,中文,38,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0357.mp4
359,"Shot in a fashion magazine style with a handheld camera and motion blur, a group of 18-year-old hippie goths gather at a warehouse party. One of them sprays graffiti on the wall while another dances wildly under flickering strobe lights. The camera pushes through the crowd toward a DJ booth, capturing the scene with a horror-movie-inspired cinematic intensity.",人物,表演艺术,风格化,,叙述性描述,运镜,英文,58,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0358.mp4
360,"A wide establishing shot reveals a spacious ballet studio with floor-to-ceiling windows and golden afternoon light streaming in. Twelve ballerinas in matching pale pink tutus and satin pointe shoes stand in perfect formation across the wooden floor. The camera slowly dollies forward as they begin a synchronized grand jeté, their bodies suspended in mid-air at the peak of the leap with arms arched gracefully. Sweat glistens on their brows, their reflections visible in the wall-length mirrors. In the foreground, a choreographer stands with her back to the camera, gesturing with subtle hand movements as dust motes dance in the sunbeams.",人物,表演艺术,多个体/群体画面,,专业影视语言,运镜,英文,100,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0359.mp4
361,中近景镜头，两群职场人士在现代会议室中相对而立。一位藏青西装男将合同推到桌面中央，对面白色西装女审视后签字，两人起身握手。镜头缓慢推近至握手特写。,人物,社会互动,属性绑定,,叙述性描述,运镜,中文,73,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0360.mp4
362,"Low-angle tracking shot, eight runners in colorful athletic wear jog steadily along a misty riverside path at dawn. The camera tracks alongside at ground level. The lead runner gradually accelerates and pulls ahead of the pack.",人物,运动体育,多个体/群体画面,,专业影视语言,运镜,英文,36,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0361.mp4
363,"A wide, dynamic shot from ground level captures a group of eight teenagers playing street football in a narrow cobblestone alley between old colorful buildings. The camera sits low near the goalpost, framing the action from an acute angle. A boy in a yellow jersey dribbles the ball diagonally across the frame as three defenders close in from both sides, their bodies leaning sharply into the sprint. Another player in red makes a sliding tackle, sending dust and small pebbles flying. Shadows stretch long from the setting sun behind them, and rapid camera pans follow the ball's movement.",人物,运动体育,多个体/群体画面,,专业影视语言,运镜,英文,98,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0362.mp4
364,轻微俯拍广角定场镜头，黄昏时分热闹的游乐场。一座华丽复古的旋转木马，金色的灯串和彩绘木马在画面正中央优雅旋转，周围簇拥着全家出游的人群、孩子们和情侣。孩子们紧紧抱住木马，睁大眼睛满怀兴奋，而家长们在一旁挥手，脸庞被彩灯温暖的光芒照亮。摄影机缓慢右摇，背景中一座过山车正在翻转，摩天轮在深紫色的暮色天空下熠熠发光。多重景深层次——中景的旋转木马、前景的观众、背景的游乐设施——营造出丰富的空间构图。旋转木马的运动略作模糊处理形成动态对比，而笑脸则锐利清晰。鲜艳霓虹色与深邃暮色蓝形成对比，电影级画质，4K高清，欢乐而梦幻的氛围，充满笑声与惊奇。,"人物,物体",日常行为,画面构图,,专业影视语言,运镜,中文,271,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0363.mp4
365,赛车在金字塔前的赛道上呼啸而过，黄沙在轮胎下扬起。镜头贴地，赛车飞驰过弯，沙尘飘散。多个赛车在蜿蜒赛道上交错超车，构图呈现金字塔剪影与疾速并存的张力。【高空无人机镜头】俯瞰整条沙漠赛道，展示车流轨迹与落日余晖交织的动态美感。,物体,,,刚体位移,专业影视语言,"运镜,多镜头",中文,112,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0364.mp4
366,场景设定：一个广阔的科幻机库或对接舱，向外望去是未来主义的天际线——高耸入云的尖塔沐浴在冷冽的日光中。地面是抛光金属材质，映出细微的建筑细节。镜头从阴影笼罩的机库内部深处开始，低位居中，向外凝视。镜头缓慢前推，逐渐展现更多由敞开的舱口框住的明亮天际线。推进时，地面上柔和的蓝色反光闪烁延伸。远处的高耸城市景观愈发清晰—抽象、高得不可思议的庞大建筑群。天际线上的光线微妙变化，暗示某种运动的开始——或许有什么正在抵达，或即将启程。最后几秒在机库地面边缘与外部平台相接时结束 ——城市仍遥不可及，刧似乎蕴藏着潜在的能量。,人造空间,,材质质感,,叙述性描述,运镜,中文,258,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0365.mp4
367,一幅充满活力的插画，一只蓝色金刚鹦鹉从色彩丰富的热带树冠中展翅飞出。镜头缓缓跟随它滑翔穿过斑斓背景，羽毛在阳光下闪烁虹彩。背景融入艺术图形元素和有机形状，风格鲜明富有表现力。,动物,,风格化,动物运动,叙述性描述,运镜,中文,87,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0366.mp4
368,写实风格，一段玻璃楼梯在淡紫色的天空中螺旋而上，玻璃楼梯反射出漂亮的光影。一位赤足的舞者拾级而上，镜头随着她一同上升。,"人物,物体",日常行为,,,日常白话,运镜,中文,59,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0367.mp4
369,花园中，微风吹动花枝左右摇摆，一只蜜蜂从花丛中飞出绕了一圈又落回花蕊。旁边喷泉水珠抛起后落入池面溅出涟漪。阳光穿过酒瓶在桌面投射出彩色折射光斑，光斑随云层移动缓慢变化。,"动物,物体",,,动物运动,日常白话,,中文,84,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0368.mp4
370,一片梦幻的雏菊花田在微风中轻轻摇曳，薄雾在背景中萦绕不散。,自然景观,,,静态/微动,日常白话,,中文,29,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0369.mp4
371,一个穿着破旧宇航服的年轻宇航员坐在昏暗的太空舱驾驶舱内，头盔玻璃上布满雾气和划痕，仪表盘闪烁着橙黄色灯光，氛围紧张而孤寂。视频从这个静态首帧开始，镜头快速拉近宇航员的脸部，随即切换到舱外，展现飞船急速穿越暴风雪般的太空尘埃风暴。太空科幻风格。,"人物,物体",日常行为,风格化,,叙述性描述,"运镜,多镜头",中文,121,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0370.mp4
372,高美感的赛博朋克的未来风格，冷色调，近景，背景虚化，镜头缓慢跟随年轻东亚女性独自走在空旷的废墟中间，她凝重地盯着前方，眼眶发红，泪水在下眼脸聚着，表情悲伤而压抑，朝阳的光打在她脸上，形成明暗交替的斑驳光影，她抬头，转头看向左右，她的眼神脆弱中透露出一丝坚定和倔强。她嘴角先微微抽动，鼻翼轻颤，悲伤的神情消失了，转为一种温柔、平和又坚定的神情，嘴角上扬，她似乎又重拾信心看见了希望。具备细腻的胶片质感，摄影运镜是轻微的手持镜头，微表情清晰，表演非常细腻有层次感，整体非常有电影质感,人物,情绪表情,风格化,,叙述性描述,运镜,中文,239,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0371.mp4
373,烈日下的废弃工业区，背景是高耸的大楼，此刻正轰然爆炸倒塌，火光和浓烟卷起尘埃，碎片飞溅。画面左侧呈现爆炸全景，摄影机聚焦主角面部大特写，主角身穿略显皱褶的西装，肩膀被微风轻轻吹起，衣角随动作轻摆。他的脸庞沧桑而坚毅，刻画出岁月痕迹和经历的沉重，眉眼间透出冷静与不屑。摄影机以大特写捕捉他的面部表情：微微眯起的眼睛、嘴角勾起一抹不屑的笑，火光映照在侧脸形成强烈光影对比，展现英雄气质和内心的傲然无畏。慢动作与景深结合，使爆炸背景和人物表情同时呈现，4K超清，光影层次丰富，整体画面写实而震撼，充满电影大片感和故事张力。电影质感。焦点调度由远景的爆炸聚焦到主角的脸部，他抽着烟轻蔑的笑了起来，情绪细腻,人物,情绪表情,画面构图,,叙述性描述,"运镜,时间操控",中文,298,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0372.mp4
374,午后的房间，阳光透过百叶窗形成条纹光斑。窗台上猫咪趴着呼吸，身体随呼吸微微起伏。一只飞蛾从窗缝飞入，猫咪耳朵竖起追踪飞蛾轨迹，头部随之左右转动。镜头从猫咪推近至地板光斑，光斑随云层移动缓慢偏移。,动物,,,动物运动,日常白话,运镜,中文,97,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0373.mp4
